"plant","num_leaf_segments","num_uninfected","perc_infected","blackSpore","Undifilum","unk_infections","notAlfuInfected","morphospecies_not_counting_Undifilum","notes","startCulturedate","endCultureDate","Height","Width","Length","Flowering.","Weight.mg.","d15N....vs..air.","wt...N","d13C....vs..VPDB.","wt...C","percN","percC","m1","m2","m3","a1","a2","a3","m4","a4","X","treament","status","DateFlowering","DateFruiting","width","height","length","vol","X.Fl_Stems_atCollectionTime","X.Fl_stemsEndOfYear","X.LeavesCollection","X.LeavesEndofYear","lvs_with_herbivory","lvs_with_fungus","blackdotFungusPresence","leafarea_avg","sla_1","sla_2","sla_3","sla_4","sla_avg","ndfa","tube_before","tube_after","sample_mg","Calculated.amount","top","bottom","X..Swainsonine","sequenced","Otu4","Otu58","Otu77","Otu86","Otu101","Otu9","Otu11","Otu10","Otu54","Otu42","Otu40","Otu74","Otu72","Otu79","Otu6","Otu70","Otu62","Otu7","Otu99","Otu76","Otu100","bactOtu100","bactOtu101","bactOtu103","bactOtu104","bactOtu105","bactOtu107","bactOtu108","bactOtu110","bactOtu111","bactOtu112","bactOtu114","bactOtu115","bactOtu116","bactOtu117","bactOtu119","bactOtu12","bactOtu120","bactOtu124","bactOtu126","bactOtu127","bactOtu128","bactOtu129","bactOtu130","bactOtu132","bactOtu134","bactOtu135","bactOtu136","bactOtu137","bactOtu139","bactOtu14","bactOtu141","bactOtu142","bactOtu144","bactOtu145","bactOtu146","bactOtu147","bactOtu148","bactOtu149","bactOtu150","bactOtu152","bactOtu153","bactOtu155","bactOtu157","bactOtu158","bactOtu159","bactOtu16","bactOtu161","bactOtu163","bactOtu165","bactOtu166","bactOtu167","bactOtu168","bactOtu169","bactOtu170","bactOtu171","bactOtu172","bactOtu173","bactOtu174","bactOtu175","bactOtu176","bactOtu177","bactOtu178","bactOtu179","bactOtu180","bactOtu181","bactOtu182","bactOtu184","bactOtu185","bactOtu186","bactOtu187","bactOtu188","bactOtu190","bactOtu20","bactOtu21","bactOtu22","bactOtu23","bactOtu26","bactOtu28","bactOtu32","bactOtu40","bactOtu42","bactOtu45","bactOtu46","bactOtu47","bactOtu48","bactOtu5","bactOtu56","bactOtu57","bactOtu6","bactOtu61","bactOtu62","bactOtu65","bactOtu66","bactOtu67","bactOtu68","bactOtu7","bactOtu71","bactOtu76","bactOtu77","bactOtu78","bactOtu82","bactOtu85","bactOtu86","bactOtu87","bactOtu88","bactOtu89","bactOtu9","bactOtu90","bactOtu91","bactOtu92","bactOtu93","bactOtu94","bactOtu97"
"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9,20,19,"",3.738,1.53,3.09,-30.14,42.47,0.826645264847512,11.3616907437132,NA,NA,NA,NA,NA,NA,NA,NA,NA,"treated_plus","good",NA,NA,19,12,14,NA,NA,NA,15,NA,0,NA,"",NA,NA,NA,NA,NA,NA,48.5215053763441,1285.68,1324.16,38.48,"NF","#VALUE!",7696,0,"no",54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10",15,15,0,NA,0,NA,0,NA,"","9/16/17","10/28/17",13,43,41,"y",3.591,3.67,3.79,-30.19,42.94,1.05541631857421,11.957671957672,3.42,6.38,6.91,0.384,0.653,0.633,NA,NA,"","treated_neg","good",NA,NA,39,15,32,NA,NA,NA,63,NA,NA,11,"",0.6675,0.112280701754386,0.102351097178683,0.0916063675832127,NA,0.102079388838761,19.758064516129,1250.05,1308.65,58.6,"NF","#VALUE!",11720,0,"yes",816,4,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"100",9,9,0,NA,0,NA,0,NA,"","9/16/17","10/28/17",11,30,26,"",NA,-0.05,NA,-0.05,NA,1.07114345098763,11.1952434308538,2.21,2.47,1.97,0.217,0.351,0.278,NA,NA,"","untreated_neg","good",NA,NA,26,11,19,NA,NA,NA,23,NA,1,8,"",0.4615,0.0981900452488688,0.142105263157895,0.141116751269036,NA,0.127137353225266,69.758064516129,1286.01,1313.55,27.54,"NF","#VALUE!",5508,0,"yes",888,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"102",10,10,0,NA,0,NA,0,NA,"","9/16/17","10/28/17",14,33,27,"",4.112,2.68,4.39,-29.5,44.43,1.06760700389105,10.8049610894942,4.35,2.93,3.32,0.498,0.29,0.381,NA,NA,"","treated_controlneg","good",NA,NA,30,14,30,NA,NA,NA,27,NA,1,11,"",0.54225,0.11448275862069,0.0989761092150171,0.114759036144578,NA,0.109405967993428,33.0645161290323,1244.29,1273.28,28.99,"NF","#VALUE!",5798,0,"yes",844,4,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"103",9,9,0,NA,0,NA,0,0,"","9/16/17","10/28/17",6,17,15,"",3.291,0.94,3.02,-29,44.24,0.917654208447281,13.4427225767244,1.41,1.06,1.29,0.171,0.134,0.138,NA,NA,"","treated_neg","good",NA,NA,14,11,14,NA,NA,NA,23,NA,NA,12,"yes",0.36075,0.121276595744681,0.126415094339623,0.106976744186047,NA,0.11822281142345,56.4516129032258,1250.14,1255.24,5.1,"NF","#VALUE!",1020,0,"yes",2751,12,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"106",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17,55,49,"y",3.626,-1.08,4.5,-27.85,44.87,1.24103695532267,12.3745173745174,3.72,0.98,2.58,0.567,0.14,0.37,NA,NA,"","untreated_plus","good",NA,NA,54,19,45,NA,NA,NA,211,NA,15,68,"",0.51925,0.15241935483871,0.142857142857143,0.143410852713178,NA,0.14622911680301,83.6021505376344,1308.05,1331.49,23.44,"NF","#VALUE!",4688,0,"yes",55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
"11",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,10,6,"",3.325,3.42,6.53,-30.09,49.42,1.96390977443609,14.8631578947368,3.02,1.94,2.91,0.306,0.234,0.304,NA,NA,"","controlplus","good",NA,NA,9,8,7,NA,NA,NA,2,NA,NA,NA,"",0.461,0.101324503311258,0.120618556701031,0.10446735395189,NA,0.108803471321393,23.1182795698925,1297.68,1338.59,40.91,"3.121","4.68115966",8182,0.057,"yes",0,0,0,0,0,91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"110",13,13,0,NA,0,NA,0,NA,"","9/16/17","10/7/17",6,15,15,"",3.258,2.81,3.71,-30.55,41.67,1.13873542050338,12.7900552486188,3.03,3.05,2.61,0.344,0.284,0.286,NA,NA,"","untreated_neg","good",NA,NA,15,10,15,NA,NA,NA,7,NA,4,NA,"",0.4785,0.113531353135314,0.0931147540983606,0.109578544061303,NA,0.105408217098326,31.3172043010753,1312.24,1329.78,17.54,"NF","#VALUE!",3508,0,"yes",278,2,2,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"111",9,8,0.111111111,NA,0,1,1,1,"yellow slime","9/17/17","10/28/17",8,15,13,"",3.79,2.12,2.48,-30.1,41.45,0.654353562005277,10.9366754617414,1.64,3.52,3.45,0.145,0.303,0.233,1.09,0.107,"","treated_controlneg","good",NA,NA,10,12,9,NA,NA,NA,4,NA,1,NA,"",0.42025,0.0884146341463415,0.0860795454545455,0.067536231884058,0.0981651376146789,0.0850488872749059,40.5913978494624,1312.07,1342.02,29.95,"NF","#VALUE!",5990,0,"yes",344,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"113",10,10,0,NA,0,NA,0,0,"","9/16/17","10/28/17",14,18,17,"",4.586,0.63,2.16,-30.23,42.39,0.470998691670301,9.24334932402965,2.26,2.04,4.56,0.218,0.209,0.393,NA,NA,"","untreated_neg","good",NA,NA,16,16,15,NA,NA,NA,28,NA,NA,1,"",0.455,0.0964601769911504,0.102450980392157,0.0861842105263158,NA,0.0950317893032077,60.6182795698925,1249.6,1287.4,37.8,"NF","#VALUE!",7560,0,"yes",121,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
