"samps","Otu4","Otu58","Otu77","Otu86","Otu101","Otu9","Otu11","Otu10","Otu54","Otu42","Otu40","Otu74","Otu72","Otu79","Otu6","Otu70","Otu62","Otu7","Otu99","Otu76","Otu100"
"1",54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"10",816,4,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"100",888,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"102",844,4,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"103",2751,12,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"104",3586,17,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"106",55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"108",693,1,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0
"109",9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"11",0,0,0,0,0,91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"110",278,2,2,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0
"111",344,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"112",102,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"113",121,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0
"114",93,1,0,0,0,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"117",1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0
"118",1,0,0,0,0,8,0,0,0,0,0,0,0,0,113,0,0,0,0,0,0
"121",1529,3,2,0,2,1292,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"122",1698,2,1,2,2,0,0,0,0,0,0,0,0,0,456,0,0,0,0,0,0
"123",2390,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"124",44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"126",195,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"127",1242,11,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"129",176,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0
"13",277,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"131",4076,5,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"133",91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"134a",612,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"134b",705,2,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"136",620,2,0,0,0,0,0,0,0,0,0,0,0,0,123,0,0,0,0,0,0
"139",998,6,1,0,0,0,0,1,0,0,0,0,0,0,4,0,0,0,0,0,0
"14",350,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"140",137,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"144",582,1,1,0,0,0,0,0,0,0,0,0,0,0,256,1,0,0,0,0,0
"146",289,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"147",81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"148",57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"15",121,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"152",39,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"153",7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"155",407,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"156",503,3,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"157",916,7,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"159",1264,10,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"16",101,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"160",2153,26,9,0,0,0,0,0,0,0,0,0,0,0,163,0,0,0,0,0,0
"161",3010,7,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"162",1,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0
"163",249,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"164",62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"167",1887,15,0,0,0,0,0,0,0,0,0,0,0,0,51,0,0,0,0,0,0
"168",552,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"17",2000,12,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"170",783,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"171",434,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"172",341,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"173",54,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0
"175",946,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"176",759,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
"177",5,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"178",34,0,0,0,0,0,0,0,0,0,0,0,0,0,122,0,0,0,0,0,0
"18",291,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"182",297,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
